"model","term","estimate","std_error","z_value","p_value"
"verb_only","Verbsell_off",-35.1321357815713,5594.8864718855,-0.0062793295195732,0.99498985284916
"verb_only","Verbsend",-17.1846997386796,3956.18400424986,-0.0043437564380775,0.996534194701103
"verb_only","Verbserve",-18.2592144757688,3956.18409524009,-0.00461536016429002,0.99631748845624
"verb_only","Verbshow",-15.6442546977324,3956.18402459834,-0.00395437992784492,0.996844869530885
"verb_only","Verbslip",-35.1321357815691,5594.88647187906,-0.00627932951958002,0.994989852849155
"verb_only","Verbsubmit",-35.1321357815689,5594.88647188289,-0.00627932951957568,0.994989852849158
"verb_only","Verbsupply",-35.1321357815693,5594.8864718819,-0.00627932951957687,0.994989852849157
"verb_only","Verbswap",1.19111114257735e-06,5594.88647182464,2.12892817142168e-10,0.999999999830136
"verb_only","Verbtake",-20.6795826044187,3956.18406645239,-0.00522715380706807,0.995829353672931
"verb_only","Verbteach",-14.3471914703401,3956.18406617152,-0.00362652273766022,0.997106459840701
"verb_only","Verbtell",-14.5905377289721,3956.18402701822,-0.00368803312215205,0.99705738198282
"verb_only","Verbtender",-35.1321357815692,5594.88647188111,-0.00627932951957774,0.994989852849157
"verb_only","Verbtrade",-35.132135781569,5594.88647188113,-0.00627932951957769,0.994989852849157
"verb_only","Verbvote",1.19075627012899e-06,5594.88647132823,2.12829389162977e-10,0.999999999830187
"verb_only","Verbwill",1.19074360957028e-06,5594.88647131051,2.12827126283292e-10,0.999999999830189
"verb_only","Verbwish",1.19074864512833e-06,4196.16636861765,2.83770599286462e-10,0.999999999773584
"verb_only","Verbwrite",-18.1538539601107,3956.1840397713,-0.00458872837502275,0.996338737324708
"nonverb_main","(Intercept)",-0.434650132617781,0.5584908147685,-0.778258336796368,0.43641673178901
"nonverb_main","Modalitywritten",-0.449452333204532,0.19607907693321,-2.2921993525991,0.0218941423009005
"nonverb_main","SemanticClassc",0.672127353035688,0.285530405204494,2.35396070185351,0.018574574675217
"nonverb_main","SemanticClassf",-0.0810587237504555,0.465721756250009,-0.174049682375031,0.861826417162624
"nonverb_main","SemanticClassp",2.53842451500883,0.753576715245304,3.36850179106519,0.000755779059882272
"nonverb_main","SemanticClasst",-1.50733025462342,0.177194080503616,-8.50666258341886,1.79011517690261e-17
"nonverb_main","LengthOfRecipient",-0.315152590307602,0.050187759599423,-6.27947118626162,3.39726547236907e-10
"nonverb_main","AnimacyOfRecinanimate",-2.33342348607222,0.263394450941984,-8.85904573056547,8.07022624750024e-19
"nonverb_main","DefinOfRecindefinite",-0.716660828962707,0.200955708962198,-3.56626259917561,0.000362108535330769
"nonverb_main","PronomOfRecpronominal",1.53943330365962,0.22873517824962,6.73019915624711,1.69431019544626e-11
"nonverb_main","LengthOfTheme",0.216856874908377,0.0268514667536987,8.07616495953634,6.68354538857616e-16
"nonverb_main","AnimacyOfThemeinanimate",0.727875020500118,0.480292372654485,1.51548319719776,0.129650082355599
"nonverb_main","DefinOfThemeindefinite",0.908610455934077,0.194331745874153,4.67556369571486,2.93147268793182e-06
"nonverb_main","PronomOfThemepronominal",-1.91176980600936,0.249790796210228,-7.65348377528044,1.95606328467116e-14
"nonverb_main","AccessOfRecgiven",1.21492839639664,0.223697206868078,5.43112904003816,5.5998621981097e-08
"nonverb_main","AccessOfRecnew",-0.703759102464393,0.249869709574638,-2.81650426401194,0.0048549398504093
"nonverb_main","AccessOfThemegiven",-0.914289869776132,0.266998104074372,-3.42433094401845,0.000616315169730529
"nonverb_main","AccessOfThemenew",0.510361371149868,0.190530291367788,2.67863638629879,0.00739226202385999
"fixed_verb_full","(Intercept)",16.8250878364597,6522.639503903,0.00257949068416122,0.997941866490765
"fixed_verb_full","Verbafford",-35.2325484701324,9224.40459578756,-0.00381949296610665,0.996952492942023
"fixed_verb_full","Verballocate",-33.2359195060857,7368.21836821708,-0.00451071315278186,0.996400983821773
"fixed_verb_full","Verballot",-18.069519196125,6522.64016231424,-0.00277027687354654,0.997789641680657
"fixed_verb_full","Verballow",-0.27059188443538,6713.431656107,-4.03060458937167e-05,0.999967840428283
"fixed_verb_full","Verbassess",-2.50088554205368,9224.40458705935,-0.000271116202509384,0.999783680570484
"fixed_verb_full","Verbassign",-16.4485681160822,6522.63965235574,-0.00252176557233873,0.997987924316433
"fixed_verb_full","Verbassure",-0.0316173418670941,7963.59679482824,-3.97023388823844e-06,0.999996832211678
"fixed_verb_full","Verbaward",-18.6082612080394,6522.6395154124,-0.00285287285370742,0.997723739883796
"fixed_verb_full","Verbbequeath",-34.5522724244643,9224.40462180042,-0.0037457455349265,0.997011334457787
"fixed_verb_full","Verbbet",0.648949071834034,7954.59470628898,8.15816639056379e-05,0.999934907249997
"fixed_verb_full","Verbbring",-19.646187313577,6522.63949487591,-0.00301199956382854,0.997596775684609
"fixed_verb_full","Verbcarry",-38.1296210952615,9224.40459265822,-0.00413355905112935,0.996701906443981
"fixed_verb_full","Verbcause",-18.8003458675817,6522.63958737264,-0.00288232173734967,0.997700243170814
"fixed_verb_full","Verbcede",-36.844403606826,7945.05279177539,-0.00463740198743133,0.996299901814072
"fixed_verb_full","Verbcharge",-15.3261363840532,6522.63980260013,-0.00234968308045213,0.998125225872436
"fixed_verb_full","Verbcost",-1.27284586154451,6539.22875439228,-0.000194647703781514,0.999844693603338
"fixed_verb_full","Verbdeal",-34.9765267492737,7264.09199945214,-0.00481498950617801,0.996158209057358
"fixed_verb_full","Verbdeliver",-21.2510635462181,6522.63958759565,-0.00325804657161068,0.997400459541099
"fixed_verb_full","Verbdeny",-17.4277275863098,6522.63957336781,-0.00267188266196218,0.997868148612276
"fixed_verb_full","Verbdo",-15.4796042452597,6522.6396520351,-0.00237321162459588,0.998106452862669
"fixed_verb_full","Verbextend",-20.0186879156079,6522.63959904378,-0.0030691083895763,0.997551209644894
"fixed_verb_full","Verbfeed",-16.7113689794394,6522.63955729726,-0.00256205617873572,0.997955777167502
"fixed_verb_full","Verbfine",-0.041234592152215,7795.13466779932,-5.2897857329585e-06,0.999995779361634
"fixed_verb_full","Verbflip",-2.53753079286911,9224.40458227025,-0.000275088843972257,0.999780510861314
"fixed_verb_full","Verbfloat",-3.89101009570076,9224.40459876593,-0.000421816937238563,0.999663438788273
"fixed_verb_full","Verbfunnel",-35.882954455647,9224.40459718496,-0.00389000223023582,0.996896235106764
"fixed_verb_full","Verbget",-33.8204241038446,9224.40459437299,-0.00366640727407768,0.997074636796453
"fixed_verb_full","Verbgive",-17.2152465280706,6522.63947262975,-0.00263930677148554,0.997894140320692
"fixed_verb_full","Verbgrant",-17.7298124502201,6522.639548574,-0.00271819595704875,0.997831196083368
"fixed_verb_full","Verbguarantee",2.58828854199024,7775.80009940277,0.000332864593855626,0.999734412484629
"fixed_verb_full","Verbhand",-18.2847730073801,6522.63953813591,-0.00280327816683331,0.997763310560503
"fixed_verb_full","Verbhand_over",-34.9169661894027,9224.40459094863,-0.00378528129866124,0.996979789705945
"fixed_verb_full","Verbissue",-38.7986101672666,7004.28426700752,-0.00553926835180303,0.995580325905804
"fixed_verb_full","Verblease",-38.2396076335779,7049.85365751782,-0.00542417041420427,0.99567215939337
"fixed_verb_full","Verbleave",-19.0139391762194,6522.6396137818,-0.00291506817823332,0.997674115400982
"fixed_verb_full","Verblend",-18.1382012616138,6522.63951080308,-0.00278080694657011,0.997781239930329
"fixed_verb_full","Verbloan",-18.9536042994972,6522.63951946535,-0.00290581814968227,0.997681495824691
"fixed_verb_full","Verbmail",-19.5468083914411,6522.63953762692,-0.00299676354621195,0.997608932212968
"fixed_verb_full","Verbmake",-21.3558310043099,6522.63958056347,-0.00327410870101534,0.997387643884388
"fixed_verb_full","Verbnet",-4.20125927925371,9224.40460230672,-0.000455450455653594,0.999636603125787
"fixed_verb_full","Verboffer",-18.3940151838243,6522.63948274007,-0.00282002634554581,0.997749947500107
"fixed_verb_full","Verbowe",-15.0300050022499,6522.63955401965,-0.0023042826263468,0.998161450095742
"fixed_verb_full","Verbpay",-18.986125310606,6522.63947941962,-0.0029108040342428,0.997677517681202
"fixed_verb_full","Verbpay_back",-3.32549078811356,9224.40459627614,-0.000360510074488281,0.999712354583783
"fixed_verb_full","Verbpermit",-1.42964254101918,7878.33057527387,-0.00018146516287424,0.999855211749014
"fixed_verb_full","Verbprepay",-34.3878457084907,9224.40459656237,-0.0037279203604432,0.997025556790001
"fixed_verb_full","Verbpresent",-33.0199423556982,9224.40460145528,-0.00357962858117573,0.997143875721278
"fixed_verb_full","Verbpromise",-17.0293950848048,6522.63957578856,-0.00261081344246221,0.997916874629674
"fixed_verb_full","Verbquote",-2.22992506977618,7907.1842661909,-0.000282012533755002,0.999774986556347
"fixed_verb_full","Verbread",-19.5624330401211,6522.63962492155,-0.00299915895481599,0.997607020962015
"fixed_verb_full","Verbrefuse",-0.669695421135315,9224.40457928164,-7.26003955463398e-05,0.999942073265336
