"repeat_id","fold","family","n","native_log_loss","native_auc","source_auc"
2,1,"nonverb",165,0.232627212886333,0.927358012170385,0.920005070993915
2,1,"full_core",165,0.248203922224092,0.926343813387424,0.924822515212982
2,2,"marginal",165,0.429033777229758,0.5,0.5
2,2,"verb_only",165,0.387986602915344,0.665857142857143,0.665857142857143
2,2,"nonverb",165,0.22590158716592,0.933285714285714,0.895285714285714
2,2,"full_core",165,0.211507756051268,0.938428571428571,0.917285714285714
2,3,"marginal",164,0.551649920719537,0.5,0.5
2,3,"verb_only",164,0.49275759288838,0.671052631578947,0.692773600668337
2,3,"nonverb",164,0.31867083251065,0.89390142021721,0.906432748538012
2,3,"full_core",164,0.28474457146286,0.921992481203007,0.943295739348371
2,4,"marginal",163,0.459035623545089,0.5,0.5
2,4,"verb_only",163,0.423364034215029,0.636111111111111,0.645634920634921
2,4,"nonverb",163,0.193731296845493,0.950925925925926,0.887962962962963
2,4,"full_core",163,0.177937651639419,0.955687830687831,0.896693121693122
2,5,"marginal",163,0.459035623545089,0.5,0.5
2,5,"verb_only",163,0.413347079032964,0.651058201058201,0.651058201058201
2,5,"nonverb",163,0.20516725256917,0.95,0.929100529100529
2,5,"full_core",163,0.194966177425367,0.958994708994709,0.921693121693122
2,6,"marginal",162,0.479247114444211,0.5,0.5
2,6,"verb_only",162,0.446276664062073,0.605050505050505,0.605050505050505
2,6,"nonverb",162,0.229718284544313,0.916161616161616,0.912626262626263
2,6,"full_core",162,0.227719525229172,0.926641414141414,0.914015151515152
2,7,"marginal",160,0.501910861665287,0.5,0.5
2,7,"verb_only",160,0.452782480139403,0.6795654296875,0.6885986328125
2,7,"nonverb",160,0.170914588047057,0.9794921875,0.948486328125
2,7,"full_core",160,0.167307483503636,0.9742431640625,0.9332275390625
2,8,"marginal",160,0.492307370406054,0.5,0.5
2,8,"verb_only",160,0.494133335802327,0.526006501625406,0.537009252313078
2,8,"nonverb",160,0.23061278984009,0.926606651662916,0.866591647911978
2,8,"full_core",160,0.237866601007947,0.933608402100525,0.844086021505376
2,9,"marginal",160,0.445207158575401,0.5,0.5
2,9,"verb_only",160,0.393508365704582,0.629735935706085,0.682835820895522
2,9,"nonverb",160,0.249798445671501,0.900545350172216,0.867537313432836
2,9,"full_core",160,0.227434880023928,0.937141216991963,0.892078071182549
2,10,"marginal",159,0.446721898932159,0.5,0.5
2,10,"verb_only",159,0.418547492787698,0.63128976286871,0.63128976286871
2,10,"nonverb",159,0.292921316675896,0.9024002313476,0.850347021399653
2,10,"full_core",159,0.299947478981396,0.912087912087912,0.870445344129555
3,1,"marginal",165,0.501921554945064,0.5,0.5
3,1,"verb_only",165,0.459436453445736,0.603879706152433,0.605716253443526
3,1,"nonverb",165,0.192875297466225,0.962235996326905,0.928489439853076
3,1,"full_core",165,0.185601251645856,0.967860422405877,0.909550045913682
3,2,"marginal",165,0.530241525394345,0.5,0.5
3,2,"verb_only",165,0.505591524365611,0.574074074074074,0.581180017226529
3,2,"nonverb",165,0.300603994143657,0.906976744186046,0.876184323858742
3,2,"full_core",165,0.301386387736069,0.916020671834625,0.861326442721792
3,3,"marginal",164,0.439352793994133,0.5,0.5
3,3,"verb_only",164,0.414056341519166,0.549052396878484,0.594760312151617
3,3,"nonverb",164,0.20805436488723,0.936036789297659,0.913740245261984
3,3,"full_core",164,0.206561400969316,0.942307692307692,0.896321070234114
3,4,"marginal",163,0.431750609529703,0.5,0.5
3,4,"verb_only",163,0.364382433990169,0.699710144927536,0.708405797101449
3,4,"nonverb",163,0.144846127839287,0.981304347826087,0.950289855072464
3,4,"full_core",163,0.141516127922141,0.979855072463768,0.944202898550725
3,5,"marginal",163,0.468249505323913,0.5,0.5
3,5,"verb_only",163,0.429594389256784,0.654657745753989,0.716675244467319
3,5,"nonverb",163,0.218537144241143,0.92717447246526,0.891147709727226
3,5,"full_core",163,0.194190647870675,0.943386515697375,0.925373134328358
3,6,"marginal",162,0.460623520638492,0.5,0.5
3,6,"verb_only",162,0.446652282853184,0.552505330490405,0.560501066098081
3,6,"nonverb",162,0.296130841302536,0.866471215351812,0.87953091684435
3,6,"full_core",162,0.274187191186693,0.90911513859275,0.882995735607676
3,7,"marginal",160,0.492307370406053,0.5,0.5
3,7,"verb_only",160,0.436998767431743,0.72880720180045,0.752563140785196
3,7,"nonverb",160,0.235725473994647,0.91772943235809,0.937484371092773
3,7,"full_core",160,0.216021426102766,0.936734183545886,0.962990747686922
3,8,"marginal",160,0.417671042634207,0.5,0.5
3,8,"verb_only",160,0.403505291664437,0.554268486194859,0.591716915264995
3,8,"nonverb",160,0.212079148780897,0.942557918121231,0.921929546175817
3,8,"full_core",160,0.244017800809468,0.934306569343066,0.901301174230403
3,9,"marginal",160,0.501910861665288,0.5,0.5
3,9,"verb_only",160,0.479265202826298,0.6925048828125,0.7252197265625
3,9,"nonverb",160,0.259917023656671,0.925537109375,0.886962890625
3,9,"full_core",160,0.244570923403981,0.9453125,0.924072265625
3,10,"marginal",159,0.484560716008578,0.5,0.5
3,10,"verb_only",159,0.464037310538779,0.602583979328165,0.621188630490956
3,10,"nonverb",159,0.26925995387741,0.90671834625323,0.835917312661499
3,10,"full_core",159,0.262989446287957,0.918346253229974,0.862790697674419
4,1,"marginal",165,0.465004160464005,0.5,0.5
4,1,"verb_only",165,0.422513660534978,0.682429006085193,0.679893509127789
4,1,"nonverb",165,0.262009568680807,0.927231237322515,0.857251521298174
4,1,"full_core",165,0.24564633986427,0.924315415821501,0.870309330628803
4,2,"marginal",165,0.492602484544798,0.5,0.5
4,2,"verb_only",165,0.442120344784762,0.65437030075188,0.661654135338346
4,2,"nonverb",165,0.261776579429153,0.913181390977444,0.886395676691729
4,2,"full_core",165,0.238483138959226,0.941024436090226,0.923872180451128
4,3,"marginal",164,0.457469059825361,0.5,0.5
4,3,"verb_only",164,0.433311335646381,0.600577731092437,0.615808823529412
4,3,"nonverb",164,0.23877798345303,0.917148109243697,0.86515231092437
4,3,"full_core",164,0.234118694852651,0.936186974789916,0.878413865546218
4,4,"marginal",163,0.449881356653597,0.5,0.5
4,4,"verb_only",163,0.369097712345258,0.721813725490196,0.75667211328976
4,4,"nonverb",163,0.194384430796889,0.94281045751634,0.91557734204793
4,4,"full_core",163,0.172160050402355,0.96541394335512,0.942538126361656
4,5,"marginal",163,0.431750609529703,0.5,0.5
4,5,"verb_only",163,0.425523892492552,0.609420289855072,0.618405797101449
4,5,"nonverb",163,0.229183572881792,0.896086956521739,0.948550724637681
4,5,"full_core",163,0.21535374046895,0.905217391304348,0.953623188405797
4,6,"marginal",162,0.498112756781258,0.5,0.5
4,6,"verb_only",162,0.439677601957568,0.627884615384615,0.683894230769231
