"model","formula","term","estimate","std_error","z_value","p_value"
"bnc2014_native_core_holdout","core","Verboffer",0.119647307555761,0.691455581148209,0.173036867179637,0.862622448876353
"bnc2014_native_core_holdout","core","Verblend",-1.1261256588116,0.796772458374901,-1.41335916794671,0.15755014499575
"bnc2014_native_core_holdout","core","rec_len_words",-0.86122238291337,0.300380686666458,-2.8671030500362,0.00414248103473514
"bnc2014_native_core_holdout","core","theme_len_words",0.907396977739433,0.178491799607586,5.0836900055596,3.70171912100943e-07
"bnc2014_native_core_holdout","core","rec_animyes",-0.0461336137439291,0.298233552578486,-0.154689548996296,0.877066069508461
"bnc2014_native_core_holdout","core","rec_pronyes",2.57686656540217,0.344451236509296,7.48107799384434,7.37154116501124e-14
"bnc2014_native_core_holdout","core","theme_animyes",-2.17635668906029,1.14792695813409,-1.89590171538255,0.0579730420822091
"bnc2014_native_core_holdout","core","theme_defyes",0.324850681783863,0.295564357104266,1.09908611771231,0.271730504536788
"bnc2014_native_core_holdout","core","theme_pronyes",-2.87941022049576,0.270030238595602,-10.6632880653339,1.51157007190596e-26
"bnc2014_native_core_full","core","(Intercept)",0.138586368078977,0.591804140787148,0.234176070303674,0.814848291694661
"bnc2014_native_core_full","core","Verbsend",-0.712920618490351,0.228672236940603,-3.11765270689826,0.0018229747902844
"bnc2014_native_core_full","core","Verbshow",0.50427232145251,0.307647499913465,1.63912374257665,0.101187491262236
"bnc2014_native_core_full","core","Verbsell",-1.81825246467868,0.423485365593079,-4.29354261659614,1.7584454268751e-05
"bnc2014_native_core_full","core","Verboffer",-0.028883359888423,0.581963383535413,-0.0496308886530924,0.960416531370453
"bnc2014_native_core_full","core","Verblend",-0.463445324269687,0.719216186366119,-0.644375548068894,0.519331936615028
